id_source,titre,action,statut,content_type,chemin,taille_octets,sha256,url,licence,recupere_le
S1,Diet and Endometriosis: An Umbrella Review,download,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S1__diet-and-endometriosis-an-umbrella-review.html,260113,2e5e6968b97bd2093a5f0d7eb03fc82323a01d8f79a1179f8fdcd4d91d1084d9,https://pmc.ncbi.nlm.nih.gov/articles/PMC12192176/,MDPI - CC BY (a confirmer sur la page),2026-09-11T14:22:28+00:00
S2,ESHRE Guideline: Endometriosis (2022),download,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S2__eshre-guideline-endometriosis-2022.pdf,2922591,52c23df58b9edfa983397cfa4ce17ebebbbe52a2467f71c2a4785b456b3df364,https://www.eshre.eu/-/media/sitecore-files/Guidelines/Endometriosis/ESHRE-GUIDELINE-ENDOMETRIOSIS-2022_2.pdf,Acces libre ESHRE (a confirmer),2026-09-11T14:22:28+00:00
S3,"Food groups and nutrients consumption and risk of endometriosis: a systematic review and meta-analysis of observational studies (Arab et al., 2022)",download,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S3__food-groups-and-nutrients-consumption-and-risk-of-endometrio.html,525730,44ca777f4ad49b13e35c3ec718c4a69d80a7ed27c937522aa8f14c2243a585e3,https://link.springer.com/article/10.1186/s12937-022-00812-x,BMC - CC BY (a confirmer),2026-09-11T14:22:28+00:00
S4,"Dietary and Nutritional Interventions for the Management of Endometriosis (Nutrients, 2024)",download,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S4__dietary-and-nutritional-interventions-for-the-management-of-endometriosis.pdf,1063100,4d82de49b1f5e732443481628b817c327e934c4c842c6c5f1a0e2beae85f6f01,https://www.mdpi.com/2072-6643/16/23/3988,MDPI - CC BY -telechargment manuel car antibot,2026-09-11T14:22:28+00:00
S5,"Endo Belly: What Is It and Why Does It Happen? A Narrative Review (Velho et al., 2023)",download,error:HTTPError,,,,,https://www.mdpi.com/2077-0383/12/22/7176,MDPI - CC BY (a confirmer),2026-09-11T14:22:28+00:00
S6,Endometriose : l'alimentation est une alliee precieuse ! - Fondation pour la Recherche sur l'Endometriose,manual_synthesis,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S6__endometriose-l-alimentation-est-une-alliee-precieuse-fondati.synthese.md,4204,ef32aedf7c0b256114e22685af30c592d490e0030992f655243045f77a54e34d,https://www.fondation-endometriose.org/endometriose-alimentation/,Page web protegee - pas de reutilisation du texte integral,2026-09-11T14:22:29+00:00
S7,Prise en charge de l'endometriose - Recommandation de bonne pratique HAS/CNGOF (2018),reserve,skipped_reserve,,,,,https://www.has-sante.fr/jcms/c_2819733/fr/prise-en-charge-de-l-endometriose,HAS - reutilisation encadree (a verifier),2026-09-11T14:22:29+00:00
S8,"Endometriose - Une maladie gynecologique frequente mais encore mal connue (Dossier Inserm, maj 01/07/2024)",manual_synthesis,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S8__endometriose-une-maladie-gynecologique-frequente-mais-encore.synthese.md,15101,be3846dcabecbac0eb0c25f2c3175e2ff132ea223478d4c692f9c6d68b0ec0cd,https://www.inserm.fr/dossier/endometriose/,(c) Inserm - page web protegee,2026-09-11T14:22:29+00:00
S9,"Diagnosis and management of endometriosis (Allaire, Bedaiwy & Yong, CMAJ, 2023)",download,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S9__diagnosis-and-management-of-endometriosis.pdf,860538,19bd45df0a7855000a4d76878c67ea22a2cacc84751f4f0e3988e4207955f5e0,https://www.cmaj.ca/content/195/10/e363,CMAJ – telechargment manuel car antibot,2026-09-11T14:22:29+00:00
S10,"Endometriosis - Fiche descriptive OMS (publiee 03/2021, actualisee 03/2023)",download,skipped,,/home/sam/Documents/informatique/projet_certification_simplon/alimendo_certification_rncp/rag/data/raw/S10__endometriosis-fiche-descriptive-oms-publiee-03-2021-actualis.html,115935,cd802db78b53f1a152d45d41c5606e42f21c14a555163fa171bc52cb23a92421,https://www.who.int/news-room/fact-sheets/detail/endometriosis,OMS - licence CC BY-NC-SA IGO probable (a verifier),2026-09-11T14:22:29+00:00
